,question,answer,a,b,c
1002,What is more useful when it is broken?,An egg.,A pencil,A phone,A watch
1003,"What is neither water nor land, and is always soaking wet?",Wetlands.,Swamp,Marsh,Bog
1004,What is often returned but never borrowed?,Thanks.,Smiles,Laughter,Compliments
1005,What is Santa Claus' favorite sandwich?,Peanut Butter and Jolly!,Egg and Mistletoe,Candy Cane and Pickles,Reindeer Meat and Snowflakes
1006,"What is served, but not by a waiter; and an ace but not a card?",A volleyball,A tennis ball,A soccer ball,A basketball
1007,"What is six inches long, sweet on the lips, and goes down better with butter?",Corn on the cob.,Carrot,Banana,Ice cream cone
1008,"What is six inches long, sweet on the lips, and goes down better with butter?",Corn on the cob.,Carrot,Banana,Ice cream
1009,What is so fragile that saying its name breaks it?,Silence.,Glass,Mirror,Egg
1010,What is something you can hold without ever touching?,Your breath.,A thought,A memory,A feeling
1011,"What is something you don't own but you can give it to anyone you meet? You only have one, but you can give it away as many times as you want without losing it. What is it?",Your heart.,Your smile,Your kindness,Your love
1012,What is super hard and goes into a tiny hole?,A key.,A rock,A brick,A hammer
1013,"What is that which has many leaves, but no stem?",A book.,A tree,A flower,A bush
1014,"What is that which is invisible, but never out of sight?",The Letter I.,The Wind,The Sun,The Moon
1015,What is that which the dead and living do at the same time?,Lie.,sleep,breathe,dream
1016,"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?",A silkworm.,A caterpillar,A chameleon,A butterfly
1017,What is the angle between the big hand and the small hand when the time is 3:15?(The 'Google Riddles' are interview questions those who wish to get hired were asked).,0 degrees.,90 degrees,180 degrees,270 degrees
1018,What is the best key to a good dinner?,A Turk-key!,A Chick-key,A Mon-key,A Turf-key
1019,What is the coolest letter in the alphabet?,B! Why?Because it's surrounded by AC!,C! Because it's always chillin' with the other letters!,I! Because it's always icy cool!,Z! Because it's the last letter and it's too cool to be bothered with the rest!
1020,What is the coolest letter in the alphabet?,B! Why?Because it's surrounded by AC!,C! Because it's always chillin' with D!,F! Because it's the first letter in 'Freeze'!,I! Because it's the initial letter in 'Ice'!
1021,What is the end of everything?,The letter G.,The number 0,"The word ""nothing",The concept of infinity
1022,What is the first animal in space?,The cow that jumped over the moon.,The monkey that swung from the trees,The dog that chased its tail,The cat that purred in the sun
1023,What is the first thing you see in an emergency but you only see it twice in a lifetime?,The letter E.,The color red,A fire extinguisher,A siren
1024,What is the hardest part about baseball?,The bat,The ball,The glove,The field
1025,What is the hardest part about skydiving?,The ground!,The parachute malfunctioning,The fear of heights,The strong winds
1026,What is the hardest part about skydiving?,The ground!,The parachute malfunctioning,The fear of heights,The landing
1027,What is the loneliest of all physics concepts?,The singularity,The uncertainty principle,The wave-particle duality,The observer effect
1028,What is the only way a miser will swim?,Freestyle.,Backstroke,Breaststroke,Butterfly
1029,What is the quietest sport?,"Bowling, because you can hear a pin drop.",Golf,Chess,Swimming
1030,What is the tastiest kind of money?,Dough-nut,Cash,Coin,Credit card
1031,What is the value of 1/2 of 2/3 of 3/4 of 4/5 of 5/6 of 6/7 of 7/8 of 8/9 of 9/10 of 1000?,100,99,101,98
1032,"What is thick but thin as a puff,What is short but tall as a bluff,What brings peace and calms the sea,What dazzles the eyes of you and me?",A rainbow.,A cloud,A mirror,A waterfall
1033,What kind of ball has feet but cannot walk?,Football,Basketball,Tennis ball,Volleyball
1034,What kind of beans don't grow in the garden?,Jelly beans,Green beans,Lima beans,Kidney beans
1035,What kind of beans don't grow in the garden?,Jelly beans,Green beans,Lima beans,Black beans
1036,What kind of bread do elves and dwarfs like to eat?,Shortbread,Whole wheat bread,Rye bread,Baguette
1037,What kind of can doesn't need a can-opener?,A pelican.,A soda can,A soup can,A tuna can
1038,What kind of can doesn't need a can-opener?,A pelican.,A soda can,A soup can,A tuna can
1039,What kind of cheese is made backwards?,Edam,Mozzarella,Cheddar,Swiss
1040,What kind of cheese is made backwards?,Edam,Mozzarella,Cheddar,Swiss
1041,What kind of chemical element hates to be a follower?,Lead,Iron,Copper,Zinc
1042,What kind of coat can only be used when wet?,A coat of paint.,A raincoat,A waterproof coat,A wet suit
1043,What kind of food does the baby chicken make when it goes to the bathroom?,Chickpeas,Eggplants,Chicken nuggets,Feather fries
1044,What kind of insect cooks greasy foods?,Butterfry,Oilant,Greasebug,Fryant
1045,What kind of pig knows martial arts?,A Pork Chop,Karate Ham,Ninja Bacon,Kung Fu Sausage
1046,What kind of rocks are on the bottom of the Mississippi River?,Wet rocks,Pebbles,Sedimentary rocks,Gravel
1047,What kind of rocks are on the bottom of the Mississippi River?,Wet rocks,Pebbles,Gravel,Sedimentary rocks
1048,What kind of room has no doors or windows?,A mush-ROOM.,A bath-ROOM,A bed-ROOM,A class-ROOM
1049,What kind of tree can fit into your hand?,Palm tree,Bonsai tree,Maple tree,Banyan tree
1050,What kind of tree can you carry in your hand?,A palm tree.,A pine tree,A maple tree,A oak tree
1051,"What king do you make if you take the head of a llama, the middle of a pig, the back of a buffalo, and the tail of a stallion?",A lion.,A tiger,A bear,A wolf
1052,What letters of the alphabet come too late for supper?,Those that come after T.,Those that come before T.,Those that come during breakfast.,Those that come after midnight.
1053,What lives in a tiny house all alone?,A baby chick in an egg.,A mouse in a hole,A spider in a web,A bird in a nest
1054,What looks bigger without a head than with one?,A pillow.,A balloon,A cloud,A marshmallow
1055,What looks like Chimpanzee but is not a Chimpanzee?,A photo of a chimpanzee!,A gorilla,A monkey,A bonobo
1056,What loses a head in the morning and gains it again at night?,A pillow.,A hat,A clock,A candle
1057,What loses a head in the morning and gains it again at night?,A pillow.,A clock,A hat,A candle
1058,What man cannot live inside the house?,A snowman.,A ghost,A fish,A tree
1059,What medical condition makes you run faster?,Athlete's foot.,Broken leg,Common cold,Toothache
1060,What month are trees scared of?,Sep-timber.,Oct-ober,Nov-ember,Dec-ember
1061,What month do all soldiers hate?,March.,January,July,November
1062,What month of the year has 28 days?,All of them,February,December,April
1063,What moves across the land but never has to steer?It has delivered our goods year after year.What is it?,Train,Boat,Truck,Plane
1064,"What never gets any wetter, no matter how much it rains?",The sea.,A rock,A desert,A cloud
1065,What number do you get when you multiply all of the numbers on a telephone's number pad?,Zero. At some you'll have to multiply by 0 and then everything after that will be 0.,"One. The number 1 is not multiplied by anything, so it remains as 1.","Ten. The number 1 is multiplied by 0, but then there are other numbers that are not multiplied by 0.","Negative infinity. Multiplying any number by 0 results in 0, so the product would be infinitely small."
1066,What number do you get when you multiply all of the numbers on a telephone's number pad?,Zero. At some you'll have to multiply by 0 and then everything after that will be 0.,"One. The number 1 is not multiplied by anything, so it remains as 1.","Ten. The number 10 is the product of multiplying 1 and 0, and everything after that will be 0.","Negative infinity. Multiplying any number by 0 results in 0, so the product will be infinitely decreasing towards negative infinity."
1067,What number do you get when you multiply all of the numbers on a telephone's number pad?,Zero. At some you'll have to multiply by 0 and then everything after that will be 0.,"One. The number 1 is not multiplied by anything, so it remains as 1.","Ten. The number 10 is the product of multiplying 1 and 0, and everything after that will be 0.","Negative infinity. Multiplying any number by 0 results in 0, so the product will be infinitely approaching negative infinity."
1068,What number do you get when you multiply all of the numbers on a telephone's number pad?,Zero. At some you'll have to multiply by 0 and then everything after that will be 0.,"One. The number 1 is not multiplied by anything, so it remains as 1.","Ten. The number 1 is multiplied by 0, resulting in 0, but then multiplied by the remaining numbers which are all non-zero.","Negative infinity. Multiplying any number by 0 results in 0, so the product will be infinitely negative."
1069,What number do you get when you multiply all of the numbers on a telephone's number pad?,Zero. At some you'll have to multiply by 0 and then everything after that will be 0.,"One. The number 1 is not multiplied by anything, so it remains as 1.","Ten. The number 0 is not multiplied by anything, so it remains as 0.","Infinity. As you keep multiplying, the numbers will keep getting larger and larger, approaching infinity."
1070,"What occurs once in a date, twice in Valentine's Day, and three times in everlasting love?",The letter E.,A,I,O
1071,What part of the ocean is considered the most romantic?,"The place where the ""buoy"" meets the ""gull.""",The Love Reef,The Romance Bay,The Passionate Cove
1072,What period of time weighs the least?,A light-year.,A nanosecond,A millisecond,A picosecond
1073,What period of time weighs the least?,A light-year.,A millisecond,A nanosecond,A picosecond
1074,What question can you never answer yes to?,Are you asleep?,Are you a robot?,Are you a pineapple?,Are you a time traveler?
1075,What ring at the gym is actually a square?,A boxing ring.,Hula hoop,Wedding ring,Olympic ring
1076,What rock group has been around the longest?,Mount Rushmore!,The Rolling Stones,U2,The Beatles
1077,"What runs all around a backyard, yet never moves?",A fence.,A tree,A shadow,A sprinkler
1078,What runs around a football pitch but never moves?,A fence.,A soccer ball,The crowd,The referee
1079,What smells bad when alive but smells good when dead?,Bacon!,Durian,Limburger cheese,Stinky tofu
1080,What sport can also be eaten?,Squash,Tennis,Golf,Basketball
1081,What sport do waiters do really well in?,"Tennis, because they can serve so well.",Volleyball,Badminton,Table tennis
1082,"What sport has four letters, is played all around the world, and begins with a T?",Golf,Tennis,Rugby,Polo
1083,What sport most rewards thieves?,"Baseball, because they steal bases.",Football,Basketball,Tennis
1084,What stays where it is when it goes off?,An alarm clock.,A light bulb,A fire alarm,A car horn
1085,What steps must you take when you notice a tiger running toward you?,Big ones!,Hide behind a tree,Try to outrun the tiger,Stand still and hope it doesn't see you
1086,What tastes better than it smells?,A tongue.,A nose,A mouth,A sense of taste
1087,What tree grieves the most?,The weeping willow.,The sad oak,The mourning maple,The sorrowful pine
1088,What two things can you never eat for breakfast?,Lunch and dinner!,Cereal,Pancakes,Eggs
1089,What two things can you never eat for breakfast?,Lunch and dinner!,Cereal,Toast,Eggs
1090,"What two words, when combined, contain the most letters?",Post Office.,Mailbox,Letter Carrier,Postal Service
1091,What type of dress can never be worn?,An address.,A wedding dress,A prom dress,A ball gown
1092,"What vegetable always fails in every competition, yet is a fantastic rapper?",Beets,Carrots,Potatoes,Celery
1093,What vegetable can be used to tie your shoelace?,A string bean,Carrot,Cucumber,Onion
1094,What vegetable can be used to tie your shoelace?,A string bean,Carrot,Potato,Cucumber
1095,What vegetable is the king of rock and roll?,Elvis Parsley,Elvis Lettuce,Rock and Roll Cabbage,King Carrot
1096,What vegetable is the most fun to be around and the one that everybody wants to hang out with?,Fungi,Carrot,Broccoli,Tomato
1097,What was the largest island in the world before Australia was discovered?,"It was still Australia, it just wasn't discovered yet!",Greenland,Madagascar,Borneo
1098,"What word begins and ends with an E, but has only one letter?",Envelope.,Elephant,Earring,Easel
1099,"What word in the English language does the following: The first two letters signify a male, the first three letters signify a female, the first four letters signify a great man, while the entire word signifies a great woman. What is the word?",Heroine.He-Her-Hero-Heroine,Gentleman. Ge-Gen-Gent-Gentleman,Mistress. Mi-Mis-Mist-Mistress,Champion. Ch-Cha-Cham-Champion
1100,What word is pronounced the same if you take away four of its five letters?,Queue,Cue,Quell,Quiche
1101,What word of five letters has one left when two are removed?,Stone,Bone,Lone,Cone
1102,What word of five letters has one left when two are removed?,Stone,Bone,Tone,Stove
1103,"What word with 4 letters can be written forward, backward or upside down, and yet can still be read from left to right?",NOON,MOM,RACE,DEED
1104,"What word with 4 letters can be written forward, backward or upside down, and yet can still be read from left to right?",NOON,RACE,LEVEL,MADAM
1105,What would you be sure to find in the middle of Toronto?,The letter 'O'.(TorOnto),The CN Tower,Maple Leafs jerseys,Poutine
1106,What would you get if you stacked up thousands of pizzas?,The leaning tower of pizzas!,A pizza mountain,A pizza skyscraper,A pizza pyramid
1107,What's a horse's favorite sport?,Stable Tennis.,Polo,Equestrian,Show Jumping
1108,"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?",An electric toothbrush.,A pencil,A spoon,A lollipop
1109,"What's beautiful and natural, but gets prickly if it isn't trimmed regularly?",The lawn.,The rose bush,The cactus,The hedge
1110,What's black and white and read all over?,A newspaper.,A zebra,A penguin,A chessboard
1111,"What's black when you get it, red when you use it and white when you're done with it?",Charcoal.,Ash,Ink,Chalk
1112,What's long and hard and has the word 'cum' in it?,A cucumber.,A column,A curriculum,A cumulus
1113,What's long and hard when it's young and soft and small when it's old?,A candle.,A tree,A pencil,A snake
1114,"What's made of rubber, handed out at some schools, and exists to prevent mistakes?",Erasers.,Pencils,Chalk,Whiteout
1115,What's the angle between minute hand and hour hand at a quarter past three?,7.5 degrees.The minute hand is pointing directly at the '3'. The hour hand is 1/4 of the way between the '3' and '4'. Since there are 12 numbers the angle between each number is 30 degrees. So the angle between the hands are 30 degrees * 1/4 = 7.5 degrees.,10 degrees,15 degrees,20 degrees
1116,What's the cheapest way to travel the world?,By Sale boat,By walking,By hitchhiking,By bicycle
1117,What's the cheapest way to travel the world?,By Sale boat,By walking,By hitchhiking,By using public transportation
1118,What's the difference between a boxer and a person with a cold?,A boxer knows his blows; a person with a cold blows his nose.,A boxer punches his opponent; a person with a cold punches tissues.,A boxer trains in the ring; a person with a cold trains in bed.,A boxer wears gloves; a person with a cold wears tissues.
1119,What's the difference between a nail and a bad boxer?,One gets knocked in and the other gets knocked out.,One is used to hang things,One is made of metal,One is used in construction
1120,What's the difference between a nail and a bad boxer?,One gets knocked in and the other gets knocked out.,"One is used to hang things, the other is used to punch things.","One is made of metal, the other is made of flesh and bone.","One is found in a toolbox, the other is found in a boxing ring."
1121,"What's the least number of chairs you would need around a table to sit four fathers, two grandfathers, and four sons?",Four. The four fathers could be grandfathers and are definitely sons already.,Ten. Each person needs their own chair.,"Six. Each father, grandfather, and son needs their own chair.","Twelve. Each father, grandfather, and son needs their own chair, plus an extra chair for the table."
1122,What's the meal you can never eat for breakfast?,Lunch and Dinner,Snack,Brunch,Supper
1123,"What's white, sticky, and better to spit than to swallow?",Toothpaste.,Glue,Marshmallow,Yogurt
1124,"When can a person drown, but still not get wet?",When he's trapped in quicksand.,When he's trapped in a dream,When he's lost in a desert,When he's stuck in a time loop
1125,"When can a person drown, but still not get wet?",When he's trapped in quicksand.,When he's trapped in a dream,When he's lost in thought,When he's stuck in a time loop
1126,When can you add two to eleven and get one as the correct answer?,"When you add two hours to eleven o'clock, you get one o'clock.","When you add two apples to eleven apples, you get one apple.","When you add two days to eleven days, you get one day.","When you add two dollars to eleven dollars, you get one dollar."
1127,"When combined, these four periodic elements make up something that terrifies criminals?","Carbon, Oxygen, Phosphorous & Sulfur (C + O + P + S)",Nitrogen,Hydrogen,Potassium
1128,"When combined, these four periodic elements make up something that terrifies criminals?","Carbon, Oxygen, Phosphorous & Sulfur (C + O + P + S)",Hydrogen,Nitrogen,Potassium
1129,When do the leaves begin to turn?,The night before a test.,The first day of spring,The first day of summer,The first day of winter
1130,When does a British Potato change its nationality?,When it becomes French fires.,When it goes on vacation to Ireland,When it joins a German sausage,When it becomes a Russian vodka
1131,When does a British Potato change its nationality?,When it becomes French fires.,When it gets mashed,When it joins a salad,When it becomes a chip
1132,When does a British Potato change its nationality?,When it becomes French fires.,When it gets mashed,When it joins a curry,When it becomes a shepherd's pie
1133,When does Christmas come before Thanksgiving?,In the dictionary.,Never,On December 25th,After New Year's Day
1134,"When I am filled I can point the way, When I am empty nothing moves me, I have two skins, one without and one within. What am I?",I am a glove.,I am a compass,I am a clock,I am a mirror
1135,"When I get multiplied by any number, the sum of the figures in the product is always me. What am I?",Nine.,One,Five,Seven
1136,"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?",Your dentist.,Toothpaste,Floss,Mouthwash
1137,"When I walk, I jump, and when I stand, I sit.What animal am I?",A kangaroo.,A frog,A grasshopper,A rabbit
1138,"When I'm lost, I hurt the most, as well as when not had at all. I'm often hard to express and easy to ignore. You can give me to just one person, or to many. What am I?",Love.,Pain,Loneliness,Indifference
1139,"When I'm lost, I hurt the most, as well as when not had at all. I'm often hard to express and easy to ignore. You can give me to just one person, or to many. What am I?",Love.,Pain,Loneliness,Silence
1140,When is a football player like a judge?,When he sits on the bench.,When he makes a ruling,When he gives a penalty,When he calls a foul
1141,When is a football player like a judge?,When he sits on the bench.,When he blows the whistle,When he makes a ruling,When he gives a penalty
1142,"When liquid splashes me, none seeps through.When I am moved a lot, liquid I spew.When I am hit, color I change.And color, I come in quite a range.What I cover is very complex, and I am very easy to flex.What am I?",Skin.,Cloth,Glass,Metal
1143,"When liquid splashes me, none seeps through.When I am moved a lot, liquid I spew.When I am hit, color I change.And color, I come in quite a range.What I cover is very complex, and I am very easy to flex.What am I?",Skin.,Cloth,Rubber,Glass
1144,"When may a man's coat pocket be empty, and yet have something in it?",When there's a hole in it.,When it's filled with air,When it's filled with lint,When it's filled with crumbs
1145,When my father was 31 I was 8. Now he is twice as old as me. How old am I?,"23.The difference in age is 23 years, so I must be 23 if my father is twice as old as me.",distractor1,distractor2,distractor3
1146,"When rain falls, does it ever get up again?","Yes, in dew time.","No, rain never gets up again.","Yes, rain evaporates and becomes part of the water cycle.","No, rain disappears into the ground."
1147,"When rain falls, does it ever get up again?","Yes, in dew time.","No, rain never gets up again.","Yes, rain evaporates.","No, rain disappears."
1148,"When rain falls, does it ever get up again?","Yes, in dew time.","No, rain never gets up again.","Yes, rain evaporates and becomes part of the water cycle.","No, rain gets absorbed by the ground."
1149,"When the son of the water returns to the parent, it dies. What is it?",Ice.,Steam,River,Rain
1150,"When the waiter handed him the check at the end of the meal, what did the duck say?",I already have a bill.,I don't have any money.,I'll pay next time.,Can I pay with a credit card?
1151,"When they're alive we sing, when they're dead we clap! What are they?",Birthday candles.,Fireworks,Christmas lights,Sparklers
1152,"When two people are separated by a web and hate to have love, what are they called?",Tennis players,Chess players,Soccer players,Swimmers
1153,"When two people are separated by a web and hate to have love, what are they called?",Tennis players,Archers,Chess players,Boxers
1154,When will water stop running downhill?,When it reaches the bottom.,When it evaporates,When it freezes,When it is blocked
1155,"When you have more of me, you see a lot less.What am I?",Darkness.,Light,Visibility,Clarity
1156,When you went into the woods you got me.You hated me yet you wanted to find me.You went home with me cause you couldn't find meWhat was it?,A splinter,A leaf,A squirrel,A mushroom
1157,"When young, I am sweet in the sun.When middle-aged, I make you giddy.When old, I am valued more than ever.What am I?",Wine,Cheese,Chocolate,Coffee
1158,Where do fat cows go on vacation?,Moo York.,Cowifornia,Beefington,Herdlando
1159,Where do pianists go on vacation?,The Florida Keys,The Grand Canyon,The Great Barrier Reef,The Swiss Alps
1160,Where do prehistoric reptiles like to go on vacations?,The dino-shore!,The fossil beach,The ancient island,The reptile retreat
1161,Where does a softball player go when she needs a new uniform?,New Jersey.,Sports store,Uniform shop,Athletic apparel store
1162,Where does Easter come before Valentine's Day?,In the dictionary.,In the alphabet.,In the calendar.,In the holiday season.
1163,"Where is the AD before BC, tomorrow before yesterday, and the eight is first?",In a dictionary.,In a history book.,In a time machine.,In a secret code.
1164,"Whether old Homer tippled wine or beer, Julep or cider, history is not clear; But plain it is-the bard, though want to roam, But for one liquid, never had left home. What is it?",The letter R.,The color red,A river,A rainstorm
1165,Which circus performers can see in the dark?,The Acro-Bats!,The Jugglers,The Tightrope Walkers,The Clowns
1166,"Which city can be also named: ""Rooster appears after sudden loud noise.""",Bangkok (Thailand),Cock-a-doodle-doo (France),Clucktown (USA),Squawkville (Australia)
1167,"Which city name can also be represented by: ""Insane to move""",Mad-rid! (Spain),Crazy-town,Lunatic-ville,Bonkersburg
1168,"Which creature walks on four legs in the morning, two legs in the afternoon, and three legs in the evening?","Man. He crawls on all fours as a baby, then walks on two feet as an adult, and then walks with a cane as an old man.",Dog,Monkey,Caterpillar
1169,"Which of the following words don't belong in the group and why? CORSET, COSTER, SECTOR, ESCORT, COURTS",Courts.All the rest are anagrams of each other.,"CORSET"", option","COSTER"", option","SECTOR"", option"
1170,"Which of the following words don't belong in the group and why? CORSET, COSTER, SECTOR, ESCORT, COURTS",Courts.All the rest are anagrams of each other.,"CORSET"", option","COSTER"", option","SECTOR"", option"
1171,Which tire doesn't move when a car makes a right turn?,The spare tire.,The front left tire,The rear right tire,The steering wheel
1172,Which word in the English language becomes shorter when it is lengthened?,Short.,Long,Extended,Enlarged
1173,Which word is the odd one out: First Second Third Forth Fifth Sixth Seventh Eighth?,Forth. It is incorrectly spelled.,First. It is the only word that starts with a capital letter.,Seventh. It is the only word that has six letters.,Eighth. It is the only word that ends with the letter 'h'.
1174,While walking down the street I met a man. He tipped his hat and drew his cane and in this riddle I told his name. What is the man's name?,And drew = ANDREW.,John,Michael,David
1175,"White bird, featherless, flyin' out o' paradise, flyin' over sea and land, dyin' in my hand. What is it?",A snowflake!,A seagull,A cloud,A feather
1176,"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.,The trees,The birds,The mountains
1177,"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.,The trees,The birds,The flowers
1178,Who are the happiest people at the football game?,The Cheerleaders,The Referees,The Coaches,The Fans
1179,Who makes moves while being seated?,A chess player.,A dancer,A driver,A pianist
1180,Who marries many times but always remains single?,A priest.,A divorce lawyer,A wedding planner,A serial dater
1181,Who walks little pumpkins across the road to school?,The crossing gourd.,The pumpkin farmer,The scarecrow,The school bus driver
1182,Who was the smartest man in the Bible?,Abraham. He knew a Lot.,Solomon,Moses,Daniel
1183,Why are artists no good in football matches?,Because they keep drawing.,Because they can't kick the ball,Because they prefer painting,Because they lack coordination
1184,Why are frogs so good at basketball?,Because they always make jump shots.,Because they have great dribbling skills.,Because they have excellent teamwork.,Because they have a natural ability to leap high.
1185,Why are soccer fields always unsure about what to do?,Because they have two opposing goals.,Because they can't decide which team to support.,Because they are afraid of getting kicked.,Because they are always changing their game plan.
1186,Why are soccer fields always unsure about what to do?,Because they have two opposing goals.,Because they can't decide which team to support.,Because they constantly change their rules.,Because they are afraid of getting kicked.
1187,Why can an elephant go to the swimming pool at any time?,Because they always have their trunk!,Because they have waterproof skin!,Because they love to splash around!,Because they are excellent swimmers!
1188,Why can't fish play volleyball?,Because they are afraid of the net.,Because they don't have hands,Because they can't jump,Because they prefer swimming
1189,Why can't you trust the law of gravity?,Because it will always let you down.,Because it's just a theory.,Because it's constantly changing.,Because it's not scientifically proven.
1190,Why did a woman call the police over a man who knocked on her door and claimed that he thought the room was his?,"If it was his room, he wouldn't have knocked.",The woman called the police because she was scared of the man.,The woman called the police because she thought the man was a burglar.,The woman called the police because she believed the man was trespassing.
1191,Why did Tarzan spend so much time on the golf course?,He was perfecting his swing.,He wanted to be a professional golfer.,He enjoyed the peacefulness of the golf course.,He was trying to impress Jane with his golf skills.
1192,Why did the bank teller break up with her boyfriend?,She was losing interest.,He was too controlling.,They had different life goals.,She found someone else.
1193,"Why did the chicken, the turkey, the goose, and the pigeon get in trouble?",Because of their fowl language.,Because they were causing a ruckus.,Because they were trespassing.,Because they were stealing food.
1194,"Why did the chicken, the turkey, the goose, and the pigeon get in trouble?",Because of their fowl language.,Because they were trespassing.,Because they were causing a ruckus.,Because they were stealing food.
1195,Why did the cranberries turn red?,Because they saw the turkey dressing!,Because they were ripe!,Because they were angry!,Because they were embarrassed!
1196,Why did the cranberries turn red?,Because they saw the turkey dressing!,Because they were ripe,Because they were angry,Because they were sunburned
1197,Why did the fish blush?,It saw the ocean's bottom.,It saw a shark,It saw a mermaid,It saw a submarine
1198,Why did the football player bring a string with him to the tournament final?,Because he wanted to tie the score.,Because he wanted to play cat's cradle.,Because he wanted to practice his knot-tying skills.,Because he wanted to use it as a shoelace replacement.
1199,Why did the girl fall in love with the French chef?,He buttered her up!,He whisked her away!,He sautéed her heart!,He served up romance!
1200,Why did the golfer have an extra pair of pants?,In case he got a hole-in-one.,To have a backup in case of a wardrobe malfunction.,To change into after a long day on the golf course.,To match with different golf shirts for a stylish look.
1201,Why did the silly dog swim down the rapids?,"Because he likes ""ruff"" waters!",Because he wanted to cool off!,Because he was chasing a fish!,Because he thought it was a game!
1202,Why did the soccer ball quit the team?,It was tired of being kicked around.,It wanted to join a different sport,It was too small for the team,It didn't like the coach
1203,Why do basketball players love donuts?,Because they can dunk them.,Because they are round and bouncy.,Because they are a sweet treat.,Because they make a great post-game snack.
1204,Why do Chinese men eat more rice than Japanese men do?,Because there are more Chinese men than Japanese men.,Because Chinese men have a higher rice consumption rate.,Because rice is a staple food in Chinese culture.,Because Chinese cuisine relies heavily on rice.
1205,Why do Chinese men eat more rice than Japanese men do?,Because there are more Chinese men than Japanese men.,Because Chinese cuisine relies heavily on rice.,Because rice is a staple food in Chinese culture.,Because Chinese men have a higher rice consumption.
1206,Why do Chinese men eat more rice than Japanese men do?,Because there are more Chinese men than Japanese men.,Because Chinese men have a higher rice consumption rate.,Because rice is a staple food in Chinese culture.,Because Chinese cuisine uses rice in a variety of dishes.
1207,Why do lawyers love tennis?,Because it's always in the court.,Because they enjoy the racket.,Because they love serving justice.,Because they thrive in the game of arguments.
1208,Why do soccer players do well in school?,Because they know how to use their heads.,Because they have good time management skills.,Because they are naturally intelligent.,Because they are disciplined and focused.
1209,Why don't baseball players join unions?,Because they don't like to be called out on strikes.,Because they prefer to work independently.,Because they enjoy the competitive nature of the game.,Because they believe unions hinder their individual success.
1210,Why don't baseball players join unions?,Because they don't like to be called out on strikes.,Because they prefer to work individually.,Because they enjoy the competitive nature of the game.,Because they have different employment contracts.
1211,Why is a happy sex life like a good steak?,Because it's rare!,Because it's juicy!,Because it's well-done!,Because it's satisfying!
1212,Why is a tennis game so loud?,Because the players raise a racquet.,Because the crowd cheers loudly.,Because the tennis balls make a loud noise when hit.,Because the players shout and grunt during the game.
1213,Why is it always hot at the end of a football game?,Because all of the FANS have gone home,Because the players are on fire,Because the stadium has no air conditioning,Because the referee is always blowing the whistle
1214,Why is it easier to count cows than sheep?,You can use a cow-culator.,Because cows are bigger and easier to see.,Because cows are more common than sheep.,Because cows are easier to herd and gather in one place.
1215,Why is it so difficult for the leopard to hide?,Because it's always spotted.,Because it's too slow.,Because it's too big.,Because it's too noisy.
1216,Why should you never fall in love with a pastry chef?,They may dessert you.,They might bake your heart and break it.,They could sweet talk you into a sugar-coated relationship.,They may whisk you away but leave you feeling empty inside.
1217,Why should you never fall in love with a pastry chef?,They may dessert you.,They might bake your heart and break it.,They could sweet talk you into a sugar-coated relationship.,They may whisk you away but leave you feeling half-baked.
1218,Why shouldn't you tell a joke while ice skating?,Because the ice might crack up,Because it's too cold to laugh,Because it's against the ice skating rules,Because the audience might slip and fall
1219,Why was Adam known to be a good runner?,He was the first in the human race.,He won multiple marathons.,He had exceptional speed.,He trained with the best coaches.
1220,Why was it so windy on the football pitch?,Because there were so many FANS in the stadium.,Because the weather was stormy.,Because the stadium was located in a windy area.,Because the players were running very fast.
1221,Why was it so windy on the football pitch?,Because there were so many FANS in the stadium.,Because there was a tornado nearby.,Because the players were blowing too hard.,Because the stadium had faulty ventilation.
1222,Why was the detective's wife furious when he arrived home at 9:30 when he said he'd arrive home at 9:30?,"Because she thought it would be 9:30 PM, and he turned up at 9:30 AM!",Because he arrived home late,Because he forgot to call her,Because he brought home the wrong groceries
1223,Why was the jelly so stressed out?,It was spread too thin.,It had too many flavors.,It was stuck in a jar.,It couldn't find its peanut butter.
1224,Why was the piano tuner hired to play baseball?,Because he had perfect pitch.,Because he wanted to strike out,Because he was a great pitcher,Because he wanted to hit a high note
1225,Why were the inventors of the airplane believed they could fly?,Because they were Wright.,Because they were wrong.,Because they were dreamers.,Because they were delusional.
1226,Why were the inventors of the airplane believed they could fly?,Because they were Wright.,Because they were dreamers.,Because they were fearless.,Because they were determined.
1227,"With pointed fangs I sit and wait; with piercing force I crunch out fate; grabbing victims, proclaiming might; physically joining with a single bite. What am I?",A stapler.,A knife,A snake,A vampire
1228,"With potent, flowery words speak I, Of something common, vulgar, dry; I weave webs of pedantic prose, In effort to befuddle those, Who think I while time away, In lofty things, above all-day The common kind that lingers where Monadic beings live and fare; Practical I may not be, But life, it seems, is full of me! What am I?","A riddler, or riddle.",A poet,A philosopher,A novelist
