questions,answers,Gpt
I always have to work with something in my eye. What am I?,A Needle.,"option : A Camera, option : A Telescope, option : A Microscope"
What is something you can hold without ever touching?,Your breath.,"option : A thought, option : A memory, option : A feeling"
When does Christmas come before Thanksgiving?,In the dictionary.,"option : ""Never"", option : ""On December 25th"", option : ""After New Year's Day"""
"The more you take away from me, the bigger I get.What am I?",A hole.,"option : A balloon, option : A sponge, option : A cloud"
"I have no life, but I can feed others before I die.",A battery.,"option : A candle, option : A plant, option : A solar panel"
What has a bottom at the top?,Your legs.,"option : Your head, option : A chair, option : A tree"
What do you call a rabbit with fleas?,Bugs Bunny.,"option : Flea Hopper, option : Itchy Bunny, option : Scratchy Rabbit"
How do you go from 98 to 720 using just one letter?,"Add an ""x"" between 90 and 8 -  Ninety x Eight = 720","option : ""Multiply 98 by 7 and then add 20 - (98 * 7) + 20 = 720""
option : ""Rearrange the digits of 98 to get 89 and then multiply by 8 - 89 * 8 = 720""
option : ""Subtract 98 from 818 - 818 - 98 = 720"""
"I pass before the sun and move things about, yet make no shadow. What am I?",Wind.,"option : Clouds, option : Light, option : Time"
"Take two numbers, such that the square of the first, plus the square of the second, shall equal 8; while the first, plus the product of the first and second, shall equal 6.  What are the two numbers?",2 and 2.,"option : 3 and 1, option : 4 and 0, option : 2 and 3"
"2, 3, 5, 9, 17, _ What is the next number in the sequence?",33 - The pattern is that each number is double the previous minus 1.,"option : 31, option : 35, option : 41"
"With pointed fangs I sit and wait; with piercing force I crunch out fate; grabbing victims, proclaiming might; physically joining with a single bite. What am I?",A stapler.,"option : A knife, option : A snake, option : A vampire"
A nonstop train leaves Moscow for Leningrad at 60 mph. Another nonstop train leaves Leningrad for Moscow at 40 mph. How far apart are the trains 1 hour before they pass each other?,100 miles (60+40),"option 1: 80 miles (60-40)
option 2: 120 miles (60+40+20)
option 3: 50 miles (60-10)"
"There is a creature which could double its size every day. So, if the creature is put in a tank then it will fill the tank in 10 days.How many days would it take for the creature to fill a half and how many days to fill a quarter of the tank?",9 days to fill half and 8 days to fill a quarter - Since the creature always doubles in size.,"option 1: 7 days to fill half and 6 days to fill a quarter - Since the creature doubles in size every day, it would take fewer days to fill a half or a quarter of the tank.
option 2: 11 days to fill half and 12 days to fill a quarter - Since the creature doubles in size every day, it would take more days to fill a half or a quarter of the tank.
option 3: 5 days to fill half and 4 days to fill a quarter - Since the creature doubles in size every day, it would take even fewer days to fill a half or a quarter of the tank."
"What word in the English language does the following: The first two letters signify a male, the first three letters signify a female, the first four letters signify a great man, while the entire word signifies a great woman. What is the word?",Heroine.He-Her-Hero-Heroine,"option 1: ""Gentleman. Ge-Gen-Gent-Gentleman""
option 2: ""Mistress. Mi-Mis-Mist-Mistress""
option 3: ""Champion. Ch-Cha-Cham-Champion"""
What word of five letters has one left when two are removed?,Stone,"option : ""Bone"", option : ""Tone"" ,option : ""Stove"""
"What is 3/7 chicken, 2/3 cat and 2/4 goat?",Chicago,"option : ""New York"", option : ""Los Angeles"", option : ""Houston"""
"What 4-letter word can be written forward, backward or upside down, and can still be read from left to right?",Noon.,"option : Race, option : Moon, option : Loop"
"A word I know, six letters it contains, remove one letter and 12 remains. What is it?",Dozens.,"option : ""Letters"", option : ""Remains"", option : ""Contains"""
What five-letter word becomes shorter when you add two letters to it?,Short,"option : ""Small"", option : ""Brief"" ,option : ""Tiny"""
"A girl has as many brothers as sisters, but each brother has only half as many brothers as sisters. How many brothers and sisters are there in the family?",Four sisters and three brothers,"option : ""Two sisters and one brother"", option : ""Three sisters and two brothers"", option : ""Five sisters and four brothers"""
It stalks the countryside with ears that can't hear. What is it?,Corn,"option : Wheat, option : Barley, option : Rice"
"What is cut on a table, but is never eaten?",A deck of cards,"option : A piece of paper, option : A book, option : A pair of scissors"
"What has one eye, but can't see?",A needle.,"option : A potato, option : A rock, option : A tree"
"You see a boat filled with people, yet there isn't a single person on board. How is that possible?",The boat has only MARRIED people on it!,"option : The boat is a ghost ship, option : The people on the boat are invisible, option : The boat is a mirage"
A man who was outside in the rain without an umbrella or hat didn't get a single hair on his head wet. Why?,He was bald.,"option : He was wearing a waterproof hat, option : He had a magical force field protecting him, option : He was standing under a tree"
What can you break without ever touching it?,Possible answers:1. Trust.2. A promise,"option : Glass, option : A mirror, option : A bone"
"When I get multiplied by any number, the sum of the figures in the product is always me. What am I?",Nine.,"option : One, option : Five, option : Seven"
"Janie's friends were chipping in to buy her a wedding shower present. At first, 10 friends chipped in, but 2 of them dropped out. Each of the 8 had to chip in another dollar to bring the amount back up. How much money did they plan to collect?",$40 (10 at $4 or 8 at $5),"option 1: $30 (10 at $3 or 8 at $3.75)
option 2: $50 (10 at $5 or 8 at $6.25)
option 3: $20 (10 at $2 or 8 at $2.50)"
What question can you never answer yes to?,Are you asleep?,"option : ""Are you a robot?"", option : ""Are you a pineapple?"", option : ""Are you a time traveler?"""
What month of the year has 28 days?,All of them,"option : February, option : December, option : April"
"Mickey and Donald decided to take a break from shooting cartoons and played several golf matches against each other in a week. They played for a pizza at each match, but no pizzas were purchased until the end of the week.If at any time Mickey and Donald had the same number of wins, those pizzas were canceled. Mickey won four matches (but no pizzas), and Donald won three pizzas. How many rounds of golf were played?",11 rounds. Donald won 7 matches - Four to cancel out Mickey's and three more to win the pizzas.,"option 1: 10 rounds
option 2: 12 rounds
option 3: 14 rounds"
Three matches are sitting on a table. Without adding another make for three matches four. You are not allowed to break any of the matches.,Shape the 3 matches into a roman numeral four:IV.,"option 1: Combine the three matches to form the letter ""A"" which looks like the number four.
option 2: Arrange the three matches in a way that they form a square shape, which represents the number four.
option 3: Place the three matches in a way that they create a triangle shape, resembling the number four."
I am a 7 letter word. I become longer when my third letter is removed. What am I?,Lounger.,"option : Longer, option : Linger, option : Lounge"
Why is it easier to count cows than sheep?,You can use a cow-culator.,"option : ""Because cows are bigger and easier to see."", option : ""Because cows are more common than sheep."", option : ""Because cows are easier to herd and gather in one place."""
Can you write down eight eights so that they add up to one thousand?,888 + 88 + 8 + 8 + 8 = 1000,"option 1: 888 + 88 + 8 + 8 + 8 = 1008
option 2: 888 + 88 + 8 + 8 + 8 = 1088
option 3: 888 + 88 + 8 + 8 + 8 = 880"
How many times can you subtract the number 5 from 25?,Once. After that it's not 25 anymore.,"option : ""Five times. You can subtract 5 from 25 five times before it's not 25 anymore."", option : ""Ten times. You can subtract 5 from 25 ten times before it's not 25 anymore."", option : ""Twenty times. You can subtract 5 from 25 twenty times before it's not 25 anymore."""
How many sides does a circle have?,Two - inside and outside.,"option : ""None - a circle is a 2-dimensional shape"", option : ""Infinite - a circle has an infinite number of points on its circumference"", option : ""One - a circle has only one continuous curve"""
"If two is a company and three is a crowd, what is 4 and 5?",9.,"option : 7, option : 11, option : 13"
What has 4 eyes but cannot see?,Mississippi,"option : Glasses, option : Spider, option : Potato"
"I can sizzle like bacon, I am made with an egg, I have plenty of backbone, but lack a good leg.I peel layers like onions, but still remain whole, I can be long like a flagpole, yet fit in a hole.What am I?",A snake.,"option : A worm, option : A lizard, option : A caterpillar"
What looks bigger without a head than with one?,A pillow.,"option : A balloon, option : A cloud, option : A marshmallow"
"A man leaves home and turns three times, only to return home facing two people wearing masks. Who are they?",A catcher and umpire.,"option : Two burglars, option : Two police officers, option : Two trick-or-treaters"
How do you make the word 'one' disappear?,Add a G - Gone.,"option : ""Remove the 'o' - ne"", option : ""Change the 'o' to 'a' - nane"", option : ""Rearrange the letters - eon"""
"I'm attractive, shaped like a shoe, bi-polar and may just repel you.What am I?",A magnet.,"option : A rock, option : A mirror, option : A rubber band"
What kind of coat can only be used when wet?,A coat of paint.,"option : A raincoat, option : A waterproof coat, option : A wet suit"
I am the shortest complete sentence in the English language.,Go.,"option : ""Run."", option : ""Stop."", option : ""Jump."""
"I drift forever with the current down these long canals they've made. Tame, yet wild, I run elusive, multitasking to your aid. Before I came the world was a darker place. Colder, sometimes, rougher true. But though I might make living easy, I'm good at killing too.What am I?",Electricity.,"option : Water, option : Wind, option : Fire"
"At the sound of me, men may dream or stamp their feet. At the sound of me, women may laugh or sometimes weep.What am I?",Music.,"option : Noise, option : Silence, option : Words"
What can run but can't walk?,A drop of water.,"option : A gust of wind, option : A ray of light, option : A flowing river"
What has hands but can't clap?,A clock.,"option : A glove, option : A puppet, option : A statue"
"Halo of water, tongue of wood, skin of stone, long I've stood.What am I?",A castle.,"option : A tree, option : A mountain, option : A statue"
"I see you, you see me; I raise my right hand,  you raise your left. What Am I?",A castle.,"option : A mirror, option : A tree, option : A mountain"
"When you have more of me, you see a lot less.What am I?",Darkness.,"option : Light, option : Visibility, option : Clarity"
I have lot of memories to show people. But I own none.What am I?,A photo album.,"option : A diary, option : A scrapbook, option : A camera"
"I go through cities, towns and villages, but I never come inside.What am I?",A street.,"option : A river, option : A mountain, option : A cloud"
Everyone needs it. Everyone gives it. But few ever take it. What is it?,Advice.,"option : Wisdom, option : Guidance, option : Opinion"
"I can only live where there is light, but I die if the light shines on me. What am I?",A shadow.,"option : Reflection, option : Darkness, option : Mirror"
I have keys but no locks. I have space but no room. You can enter but can't go outside. What am I?,A keyboard.,"option : A typewriter, option : A piano, option : A calculator"
"I am always there, some distance away, somewhere between land or sea and sky I fly, you may move towards me, yet distant I shall stay.",Horizon,"option : ""Clouds"", option : ""Mountains"", option : ""Stars"""
We hurt without moving. We poison without touching. We bear the truth and the lies. We are not to be judged by our size.,Words,"option : Silence, option : Actions, option : Thoughts"
"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter M.,"option : The number 1, option : The word ""never"", option : The letter ""o"""
"What do you throw out when you want to use it, but take in when you don't?",An anchor.,"option : A key, option : A towel, option : A flashlight"
"I have a head but no body, a heart but no blood. Just leaves and no branches, I grow without wood. What am I?",Cabbage.,"option : Carrot, option : Tomato, option : Lettuce"
What kind of cheese is made backwards?,Edam,"option : ""Mozzarella"", option : ""Cheddar"", option : ""Swiss"""
What do you break before you use it?,An egg.,"option : A glass, option : A mirror, option : A pencil"
"What falls, but never breaks. What breaks, but never falls?",Day and night.,"option : Glass, option : Waves, option : Rain"
I hover without wings. I cry without eyes.,A cloud.,"option : A bird, option : A plane, option : A kite"
What falls often but never gets hurt?,Rain.,"option : Feather, option : Leaf, option : Snow"
"You'll always find me in the past. I can be created in the present, but the future can never taint me. What am I?",History.,"option : Memory, option : Tradition, option : Legacy"
"What sport starts with a T, has four letters, and is played around the world?",Golf.,"option : Tennis, option : Rugby, option : Polo"
What is heavy one way but not the other?,Ton.,"option : Pound, option : Kilogram, option : Ounce"
What goes up but never comes down?,Our age.,"option : A balloon, option : A rocket, option : A staircase"
What stays where it is when it goes off?,An alarm clock.,"option : A light bulb, option : A fire alarm, option : A car horn"
"When they're alive we sing, when they're dead we clap! What are they?",Birthday candles.,"option : Fireworks, option : Christmas lights, option : Sparklers"
"What has cities but no house.Forests, but not trees.Water, but no fish?",A map.,"option : A globe, option : A compass, option : A GPS"
"You may enter, but you may not come in. I have space, but no room. I have keys, but open no lock. What am I?",A computer.,"option : A door, option : A car, option : A book"
What loses a head in the morning and gains it again at night?,A pillow.,"option : A hat, option : A clock, option : A candle"
"Everyone asks for me, but everyone hates to face me. For some I am agony. For others, I am relief.What Am I?",The truth.,"option : Lies, option : Deception, option : Denial"
It only increases and never decreases. What is it?,Our Age.,"option : Time, option : Knowledge, option : Happiness"
"A man is asked what his daughters look like.He says: ""They are all blondes except for two. They are all brunettes except for two. They are all redheads except for two.How many daughters did he have?","Three. One blonde, one redhead and one brunette.","option 1: Two. One blonde and one redhead.
option 2: Four. Two blondes, one redhead, and one brunette.
option 3: Five. Two blondes, two brunettes, and one redhead."
"What two words, when combined, contain the most letters?",Post Office.,"option : ""Mailbox"", option : ""Letter Carrier"" ,option : ""Postal Service"""
"Someone makes it, but has no need of it.Someone buys it, but has no use for it.Someone uses it, but can neither see nor feel it.What is it?",A coffin.,"option : A mirror, option : A book, option : A pillow"
What would you be sure to find in the middle of Toronto?,The letter 'O'.(TorOnto),"option : The CN Tower, option : Maple Leafs jerseys, option : Poutine"
"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?",A straw.,"option : A toothbrush, option : A pen, option : A spoon"
Set me to vibrate when you want some alone time. What am I?,A cell phone.,"option : A wristwatch, option : A blender, option : A toaster"
"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?",The Titanic.,"option : The Great Wall of China, option : The Eiffel Tower, option : The Statue of Liberty"
I absolutely love holding your buns all day. What am I?,A hair tie.,"option : A sandwich, option : A pillow, option : A baseball glove"
I drip when you take me in the mouth. What am I?,Ice-cream.,"option : Popsicle, option : Milkshake, option : Slushie"
"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.,"option : The petals of a flower, option : The power of love, option : The passion of a dream"
"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?",A spider.,"option : A snake, option : A lion, option : A thunderstorm"
"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?",Your dentist.,"option : Toothpaste, option : Floss, option : Mouthwash"
I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,Peanut butter.,"option : Almond butter, option : Cashew butter, option : Hazelnut butter"
"I produce moisture and oxygen into the air.When it gets cold, I change colors.When it freezes, I fall down, even if it's not slippery.What am I?",A leaf.,"option : A cloud, option : A flower, option : A waterfall"
"I make ash, but I'm not a bonfire.I can expel rocks, but I'm not a slingshot.I can be a mountain, but I'm not in the Himalayas.I have a crater, but I'm not the Moon.I erupt, but I don't have a bad temper.What am I?",A volcano.,"option : A campfire, option : A catapult, option : Mount Everest"
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.,"option : A cow-tree, option : A fish-tree, option : A vegetable-tree"
Bright pearls were scattered on a black cloth.What are they?,The sky and the stars.,"option : Diamonds, option : Grapes, option : Snowflakes"
"We're very large though we seem small,We float on high and never fall,We shine like jewels in the night,But in the day concealed from sight.What are we?",Stars.,"option : Moons, option : Planets, option : Clouds"
I saw a restless shepherd travelingBack and forth on his path.He garbs himself in that which goesIn the same and in an opposite direction.He goes hither and thither among creatures.What is it?,The sun.,"option : The moon, option : The wind, option : A river"
"Two little golden horns sitting on a cloud, They float slowly in the sky,And look very proud.What is it?",A young moon.,"option : A pair of sunglasses, option : A hot air balloon, option : A unicorn"
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.,"option : Moonlight, option : Raindrop, option : Starlight"
What falls on the water but never gets wet?,A shadow.,"option : A raindrop, option : A leaf, option : A feather"
"What has no hands, no feet, no head, and no body, but can open any door?",The wind.,"option : A key, option : A lock, option : A doorknob"
"When rain falls, does it ever get up again?","Yes, in dew time.","option : ""No, rain never gets up again."", option : ""Yes, rain evaporates."", option : ""No, rain disappears."""
"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.,"option : The trees, option : The birds, option : The flowers"
"I gently patter on the roof at night. I mutter quietly and lull you to sleep, asking, ""All sleeping? All right!""What am I?",Rain.,"option : Wind, option : Thunder, option : Snow"
What man cannot live inside the house?,A snowman.,"option : A ghost, option : A fish, option : A tree"
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.,"option : A broom, option : A vacuum cleaner, option : A gust of wind"
"Riddle me, riddle me, rin-Ðµ-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.,"option : Pencil and notebook, option : Typewriter and parchment, option : Keyboard and screen"
"It is energy and motion, it can fly across the ocean.It can listen and even speak, it can see and even seek.It eats neither fruit nor gruel, it eats energy and fuel.Better say: It doesn't eat; It is transformed into heat.What is it?",Electricity.,"option : Lightning, option : Power, option : Current"
"The shape of my form will waver and bendBy the things I'm destroying and those I will rend.My color changes from bright red to blue,The power I'm using will dictate my hue.What am I?",A flame.,"option : A candle, option : A torch, option : A bonfire"
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.,"option : Water, option : Sand, option : Air"
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.,"option : Air, option : Feather, option : Smoke"
"What is it that anyone can divide, but no one can see where it is divided?",Water.,"option : Air, option : Time, option : Light"
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.,"option : Glass, option : Mirror, option : Bone"
"My step is slow, and I breathe snow.To the ground, I bring death.My marching brings an end to me,I'm slain by the sun or engulfed by the sea.What am I?",A glacier.,"option : Avalanche, option : Iceberg, option : Frostbite"
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.,"option : Illusion, option : Phantom, option : Mirage"
"If you like being in nature and want to camp overnight, you can sleep in one of these.What is it?",A tent.,"option : Sleeping bag, option : Hammock, option : Cabin"
"There is a common plantThat's like something in the sky.It is bright yellow,And grows to be 10 feet high.What is it?",A sunflower.,"option : A dandelion, option : A marigold, option : A daisy"
"I bloom in yellow-golden,With fluffy little chicks.From the cold, I turn barren.What am I?",Mimosa.,"option : Daffodil, option : Sunflower, option : Tulip"
"Colorful flowersBloomed in the garden,Beautiful colorsBut autumn is coming.What flowers are they?",Astra.,"option : Rose, option : Tulip, option : Sunflower"
"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?",A pod with peanuts.,"option 1: A nutcracker
option 2: A termite infestation
option 3: A demolition crew"
I have lots of bark but no bite. What am I?,A tree.,"option : A dog, option : A fence, option : A squirrel"
"I am a plant you use in food, and my name consists of 5 letters.Remove the first letter of my name, and you'll get a form of energy.Get rid of two, and you'll get something necessary for life.Scramble together the last 3 letters, and you can drink it.What am I?",Wheat.,"option : Rice, option : Corn, option : Barley"
"I am a small seed, and there are three letters in my name.Take away two letters, and I still sound the same.What am I?",A pea.,"option : A bee, option : A key, option : A tea"
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.,"option : A cloud, option : A fish, option : A boat"
"There's a bridge in a hollowAnd a hundred cross itNo mason, no blacksmith, nor carpenter built it.What is it?",A frozen river.,"option : A stone path, option : A rope bridge, option : A wooden plank"
"You will find me in the mountains, and you'll find me in a creek.I have no mouth, but I speak every tongue.I have no ears, yet I answer every cry, and I always have the final word.What am I?",An echo.,"option : A waterfall, option : A cave, option : A wind"
We are the pearls of night stolen in the light of day.What are we?,Dewdrops.,"option : Moonbeams, option : Starlight, option : Sunrays"
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.,"option : A road, option : A tree, option : A mountain"
"Walks in the wind but stands where there's moist,Counts time, stops clocks,Swallows kingdoms, gnaws rocks.What is it?",Sand.,"option : Dust, option : Pebble, option : Gravel"
"What is thick but thin as a puff,What is short but tall as a bluff,What brings peace and calms the sea,What dazzles the eyes of you and me?",A rainbow.,"option : A cloud, option : A mirror, option : A waterfall"
"I'm gentle enough to soothe your skin,Light enough to fly through the sky,Strong enough to crack rocks.What am I?",Water.,"option : Air, option : Feather, option : Hammer"
"I can fly but have no wings,I can cry but have no eyes,Wherever I go, darkness follows me.What am I?",A cloud.,"option : A bird, option : A tear, option : A shadow"
"I come in a box and melt in your hands, I'm a Valentine's day gift that's widely loved.What Am I?",Chocolate.,"option : Flowers, option : Jewelry, option : Teddy bear"
"It could be delivered by mail, email, by hand, or even by pigeon.It is sometimes short, sometimes lengthy, and with deep, profound, or simple feelings.What is it?",A love letter.,"option : A grocery list, option : A birthday card, option : A text message"
"Current, serious, steady, or fast, It can also be either painful or beautiful,And sometimes it can forever last.What is it?",A relationship.,"option : Love, option : Time, option : Emotion"
Lipsticks come in this colorAnd some ladybugs as well.And on Valentine's DayThis color roses many shops sell.What color is it?,Red.,"option : Pink, option : White, option : Purple"
"I have wings, but I'm no bird.I have a bow and arrow, but I'm not Robin Hood.I'm a Roman god, but I'm not Jupiter.I look like a toddler, but I need no diaper.My image expresses love, but I'm not a heart.Who am I?",Cupid.,"option : Eros, option : Aphrodite ,option : Hermes"
"Balloons and cards, and bearsUse this red shape to sayThat I love you so muchEvery Valentine's Day.What is it?",A heart.,"option : A flower, option : A box of chocolates, option : A love letter"
"I come in many shades: red, pink, yellow, orange, or white; but I'm not a crayon.I'm fragrant, but I'm not perfume.People put me in water, but I'm not dirty laundry.I have a stem, but I'm not a wine glass.People gift me on Valentine's day, but I'm not a stuffed animal.What am I?",A rose.,"option : A tulip, option : A daisy, option : A sunflower"
"I'm tiny but quite expensive. But when you use me, all I do is hang and sparkle.What Valentine's Day gift am I?",Earrings.,"option : Necklace, option : Bracelet, option : Ring"
Who marries many times but always remains single?,A priest.,"option : A divorce lawyer, option : A wedding planner, option : A serial dater"
"You'll see two of me at every wedding, but I am not a person.What am I?",A wedding ring.,"option : A bouquet of flowers, option : A wedding cake, option : A wedding dress"
"I connect two people, but I touch only one.What am I?",A wedding ring.,"option : A phone, option : A handshake, option : A bridge"
"I have no finish line in sight, but you can break me. Once you have me, you are bound for life.What am I?",Marriage.,"option : Freedom, option : Happiness, option : Independence"
"I am another word for love, and I consist of nine letters. I rhyme with selection and perfection.What am I?",Affection.,"option : Connection, option : Reflection, option : Direction"
"I can make you happy, I can make you cry. I can make you want me, but I can also drive people to madness.What am I?",Love.,"option : Fear, option : Money, option : Power"
"When I'm lost, I hurt the most, as well as when not had at all. I'm often hard to express and easy to ignore. You can give me to just one person, or to many. What am I?",Love.,"option : Pain, option : Loneliness, option : Indifference"
"I can be clogged, and I can break. I can be given but also kept. I can be crushed or be made whole. What am I?",A heart.,"option : A lung, option : A brain, option : A kidney"
"From that which comes within itself,It builds its table on my shelf.What is it?",A spider.,"option : A bee, option : A bird, option : A squirrel"
"I wiggle and I cannot see,Sometimes I'm underground, and at times on a tree.I really don't want to end up on a hook,I turn into a person when combined with a book.What am I?",A worm.,"option : A snake, option : A caterpillar, option : A centipede"
"I have legs but rarely walk.I bite many but never talk.I search for places that can hide me,Because those that feed me also hate me.What am I?",A flea.,"option : A spider, option : A mosquito, option : A tick"
"I have around 5,000 feathers and I'm a bird native to America. People say Benjamin Franklin wanted me to be the national bird of the United States.What am I?",A turkey.,"option : A bald eagle, option : A blue jay, option : A robin"
I always sleep with my shoes on.What am I?,A horse.,"option : A dog, option : A cat, option : A bird"
"I stash treasures in the ground,And dig them out in winter.You can find me in a tree,Nibbling on my nutty dinner.What am I?",A squirrel.,"option : Rabbit, option : Chipmunk, option : Raccoon"
"What goes tick-tock, bow-wow, tick-tock, bow-wow?",A watch dog.,"option : ""A cat meowing"", option : ""A bird chirping"", option : ""A cow mooing"""
"I have a duck's bill, a beaver's tail, webbed feet, and I lay eggs.What am I?",A platypus.,"option : A penguin, option : A seahorse, option : A flamingo"
"I have no arms and legs. I crawl on my belly, and I have a lethal sting. When I go to sleep, I curl into a ring but I leave my eyes open wide. What am I?",A snake.,"option : A scorpion, option : A spider, option : A caterpillar"
"I live on a farm and I'm pink.I'm famous for saying ""oink...oink.""Come near me, and you'll realize I stink.What am I?",A pig.,"option : A cow, option : A chicken, option : A horse"
"My arms are longer than my legs, and I can be taught sign language to communicate with humans.What am I?",A gorilla.,"option : A chimpanzee, option : An orangutan, option : A bonobo"
I grow down as I grow up.What am I?,A goose - goose feathers are called down.,"option : A tree, option : A mountain, option : A ladder"
I am always black and whiteBut I'm not an old TVI'm a kind of animalThat begins with the letter ZWho am I?,A zebra.,"option : A zucchini, option : A zebra fish, option : A zodiac sign"
"What king do you make if you take the head of a llama, the middle of a pig, the back of a buffalo, and the tail of a stallion?",A lion.,"option : A tiger, option : A bear, option : A wolf"
"Sneaky as a shadow in the dead of night,Cunning but affectionate if given a bite.Never owned but often loved.What am I?",A cat.,"option : A dog, option : A snake, option : A bird"
"I'm grey, but I'm no wolf,I have long ears, but I'm not a rabbit,I have hooves, but I'm not a cow.What am I?",A donkey.,"option : A wolf, option : A rabbit, option : A cow"
"I'm a pet with cute ears, four legs, and a tail at the end.You surely heard me barking. I'm known as man's best friend.What am I?",A dog.,"option : A cat, option : A horse, option : A bird"
"Some are afraid of this creature,Because it has a large bite.So be careful out in the ocean,One of its kin is a Great White.What is it?",A shark.,"option : A dolphin, option : A whale, option : A seal"
"Throughout the day I rest and sleep.At night, I fly and hunt.I have no feathers on my wings,Nor do I chirp or grunt.What am I?",A bat.,"option : A bird, option : A butterfly, option : A vampire"
I am named after the animal I eat.What am I?,An anteater.,"option : A lion, option : A tiger, option : A bear"
"I may be small, but I can climb a tower.What am I?",An ant.,"option : A spider, option : A squirrel, option : A bird"
"I'm not a superhero, but I have a cape. I have a comb, but I don't use it on my hair, and I am famously territorial.What am I?",A rooster.,"option : A peacock, option : A lion, option : A penguin"
This is a type of animalKnown for its long face.It's very good at runningSo people ride it in a race.,A horse.,"option : A cow, option : A dog, option : A cheetah"
What lives in a tiny house all alone?,A baby chick in an egg.,"option : A mouse in a hole, option : A spider in a web, option : A bird in a nest"
"My first letter is in sea but not in ocean,The second is in change but not in motion.My third letter in boat but never in ship,And the fourth is in travel as well as in trip.The fifth letter is in dark but not in caves,And my whole is a triangle popping up from the waves.  What am I?",A shark.,"option : A dolphin, option : A whale, option : A turtle"
"My first letter is in cloud, but never in sky.The second is in roll but not in lie,My third letter is in water but not in trees.My whole makes you milk, kefir, and cheese.What am I?",A cow.,"option 1: A horse
option 2: A goat
option 3: A sheep"
"My first letter is in follow but not in lead, and the second is in write but not in read.My third letter is in sky but not in cloud, my fourth is in humble but not in proud.My all makes circles in a bowl, or lies on a plate cooked up whole.What am I?",A fish.,"option : A bird, option : A tree, option : A rock"
"I sizzle like bacon, but I hatched from an egg,I expand when I eat, and I have no legs.What am I?",A snake.,"option : A lizard, option : A caterpillar, option : A turtle"
"I have got a crown like a king, but I'm a disgrace when I sing.There are fewer eyes on my face than my tail, but only when I'm a male.What am I?",A peacock.,"option : A lion, option : A rooster, option : A parrot"
"I'm the opposite of a dog, but I'm not a god.I move my tail when I'm mad and growl when I'm pleased.What am I?",A cat.,"option : A bird, option : A snake, option : A cow"
I feed on leaves from treetops but my feet never leave the earth.What am I?,A giraffe.,"option : A koala, option : A sloth, option : A panda"
"I go to school all my life, and I never leave the water, even though I breathe air. What am I?",A dolphin.,"option : A fish, option : A whale, option : A turtle"
"I often join you at parties and holidays, but I never get to enjoy them.What am I?",A turkey.,"option : A balloon, option : A present, option : A piñata"
I grow from egg to fish to creature.I burp when I talk and I jump when as I walk.What am I?,A frog.,"option : A lizard, option : A tadpole, option : A snake"
"I have no legs, eyes, or nose, but if you give me enough time, I can move the earth.What am I?",A worm.,"option : A snail, option : A caterpillar, option : A mole"
I have black circles around my eyes - even when I'm not exhausted.What am I?,A panda.,"option : A raccoon, option : A skunk, option : A panda bear"
Play me with a ball and bat. Or hear me sing in a tophat.What am I?,A cricket.,"option : A baseball, option : A magician, option : A bird"
"Alive without breath, as cold as death.All in mail never clinking.Never thirsty, ever drinking.What am I?",A fish.,"option : A rock, option : A tree, option : A ghost"
"Born in water, I drown in water.A blood-thirsty beast you can barely see.What am I?",A mosquito.,"option : A jellyfish, option : A leech, option : A vampire bat"
"As small as your thumb, I am light in the air.You may hear me before you see me, But trust me, I'm there.What am I?",A hummingbird.,"option : A butterfly, option : A mosquito, option : A dragonfly"
"I have a face like a tree and skin like the sea.A great beast I am, yet small vermin frighten me.What am I?",An elephant.,"option : A lion, option : A whale, option : A crocodile"
"I create my lair with earthen string,And dispatch my prey with a biting sting.What am I?",A spider.,"option : A scorpion, option : A snake, option : A wasp"
"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?",A bee.,"option : A flower, option : A bird, option : A tree"
